##Rebuild Chattousa, Luwian group flavor events/decisions;;;;;;;;;;;;;x
rebuild_chattousa_title;Rebuild Chattousa;;;;;;;;;;;;;x
rebuild_chattousa_desc;Now that you have consolidated your power over the heartland of the legendary Hittite empire, you can rebuild their ancient capital.;;;;;;;;;;;;;x
rebuild_chattousa_city_title;Rebuild Chattousa city;;;;;;;;;;;;;x
rebuild_chattousa_city_desc;Rebuild the ruined city of Chattousa, which your predecessor left in ruins when the palace was rebuilt.;;;;;;;;;;;;;x
rebuild_chattousa_temple_title;Build temple to Arinniti;;;;;;;;;;;;;x
rebuild_chattousa_temple_desc;Build a grand temple to Arinniti, which your predecessor neglected to do when the city was rebuilt.;;;;;;;;;;;;;x
EVTNAMErebuild_chattousa.1;Prepare to rebuild Chattousa;;;;;;;;;;;;;x
EVTDESCrebuild_chattousa.1;You have decided to rebuild the capital of the ancient Hittite empire. You comission quarries to deliver large amounts of marble and gather masons from around the realm to build it. How ambitious should this project be?;;;;;;;;;;;;;x
EVTOPTArebuild_chattousa.1;Rebuild just the royal palace.;;;;;;;;;;;;;x
EVTOPTBrebuild_chattousa.1;Rebuild the city and fortifications, including the monumental Lion and Sphinx Gates.;;;;;;;;;;;;;x
EVTOPTCrebuild_chattousa.1;Rebuild the entire city and consecrate the greatest shrine to Arinniti ever!;;;;;;;;;;;;;x
EVTOPTDrebuild_chattousa.1;I have better uses for my gold.;;;;;;;;;;;;;x
EVTNAMErebuild_chattousa.2;Chattousa Palace rebuilt!;;;;;;;;;;;;;x
EVTDESCrebuild_chattousa.2;The new palace is complete. The Royal Palace stands in its renewed glory, providing you with a magnificent place to receive tribute from all the peoples in your realm, like the kings of old.;;;;;;;;;;;;;x
EVTOPTArebuild_chattousa.2;Dedicate it in a great ceremony!;;;;;;;;;;;;;x
EVTNAMErebuild_chattousa.3;Chattousa City rebuilt!;;;;;;;;;;;;;x
EVTDESCrebuild_chattousa.3;The new city is complete. The Royal Palace stands at its highest point in its renewed glory, providing you with a magnificent place to receive tribute from all the peoples in your realm, like the kings of old. Impressive city walls protect a vast area where you intend to settle thousands of people, the elite of your empire. The walls are pierced by monumental gates, replicas of the ancient Lion and Sphynx Gates.;;;;;;;;;;;;;x
EVTNAMErebuild_chattousa.4;Temple of Arinniti completed!;;;;;;;;;;;;;x
EVTDESCrebuild_chattousa.4;The new city is complete. The Royal Palace stands at its highest point in its renewed glory, providing you with a magnificent place to receive tributes from all the peoples under your reign, like the kings of old. Impressive city walls protect a vast area where you intend to settle thousand of people, the elite of your empire. The walls are garnished with monumental gates, replicas of the ancient Lion and Sphynx Gates. A vast area where the ancient priests used to worship their thousands of Gods has been devoted to build a great shrine to Arinniti, the finest you have ever seen. Clearly you enjoy Divine favor!;;;;;;;;;;;;;x
EVTDESCrebuild_chattousa.5;As you gaze down from the magnificent palace your predecessor built, it disturbs you to see the ancient city of Chattousa still lying in ruins. Has the time finally come to rebuild it?;;;;;;;;;;;;;x
EVTOPTArebuild_chattousa.5;Yes, rebuild it!;;;;;;;;;;;;;x
EVTDESCrebuild_chattousa.6;The new city is complete, stretching out below the Royal Palace. Impressive city walls protect a vast area where you intend to settle thousand of people, the elite of your empire. The walls are garnished with monumental gates, replicas of the ancient Lion and Sphynx Gates.;;;;;;;;;;;;;x
EVTDESCrebuild_chattousa.7;Your sleep has been uneasy in recent months, disturbed by dreams of the Sun Goddess, Arinniti. She seems to be trying to tell you something, but you can never remember what when you wake. Today, gazing down on the magnificent city of Chattousa your predecessor rebuilt from the Royal Palace, you realized what it was...;;;;;;;;;;;;;x
