#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
LI_son_merc_company_dec;Send [Root.GetTitledFirstName] to train with a Mercenary Company;;;;;;;;;;;;;x
LI_son_merc_company_dec_desc;Send your son to train with a Mercenary company for some years and hope they return as a hardened soldier.;;;;;;;;;;;;;x
EVTDESCli_sonevents1;You have decided to send your son to a Mercenary company to train.;;;;;;;;;;;;;x
EVTOPTAli_sonevents1;On second thoughts no, he shall remain with me.;;;;;;;;;;;;;x
LI_son_academy_dec;Send [Root.GetTitledFirstName] to study at the Neoplatonic Akademia;;;;;;;;;;;;;x
LI_son_academy_dec_desc;Send your son to study at the Neoplatonic Akademia for some years and hope they return as an enlightened scholar.;;;;;;;;;;;;;x
EVTDESCli_sonevents3;You have decided to send your son to the Neoplatonic Akademia to study.;;;;;;;;;;;;;x
hold_pagan_festival;Hold a festival to honour [Root.Religion.GetRandomGodName];Organiser le festival de l'Užgavenes;Užgavenes Fest veranstalten;;Celebrar el Festival Užgavenes;;;;;;;;;x
hold_pagan_festival_desc;Is a tradition of the [Root.Religion.GetName] faith to hold the festival to honour [Root.Religion.GetRandomGodName] and place offerings and sacrifices in an great altar built in his honour for the occasion.;Le festival de l'Užgavenes se tient au printemps pour célébrer la fin de l'hiver et la venue de l'été.;Das Užgavenes Fest findet im Frühling statt, um das Ende des Winters und das Kommen des Sommers zu feiern.;;El festival Užgavenes se celebra en primavera para celebrar el fin del invierno y la llegada del verano.;;;;;;;;;x
prepare_pagan_festival;You begin preparations for the festival to honour [Root.Religion.GetRandomGodName].;Vous commencez les préparatifs pour le festival de l'Užgavenes.;Ihr beginnt die Vorbereitungen für das Užgavenes Fest.;;Empiezas las preparaciones para el festival Užgavenes.;;;;;;;;;x
EVTDESC_TOGLI_750;Invitations have gone out to your vassals asking them to join you in this spring's festival to honour [Root.Religion.GetRandomGodName]. You have decided to make the festival this year a special one, remembered by both spirits and men for many years to come.;Les invitations à venir vous joindre pour célébrer le festival de l'Užgavenes ont été envoyées à vos vassaux. Vous avez décidé de célébrer ce festival en grand, afin que que les esprits et les hommes s'en souviennent pour plusieurs années.;Zum Užgavenes Fest wurden an Eure Vasallen Einladungen verschickt. Ihr habt beschlossen, das diesjährige Fest zu etwas Besonderem zu machen, an das sich Götter und Menschen noch viele Jahre erinnern werden.;;Las invitaciones para tus vasallos han salido, pidiéndoles que se unan a la fiesta Užgavenes de esta primavera. Has decidido que el festival de este año sea especial, recordado por espíritus y hombres durante muchos años.;;;;;;;;;x
EVTTOOLTIP_TOGLI_751;Invitation to the festival to honour [Root.Religion.GetRandomGodName] is sent.;L'invitation pour le festival de l'Užgavenes  est envoyée.;Einladung zum Užgavenes Fest wurde verschickt. ;;La invitación para la fiesta de Užgavenes ha sido enviada.;;;;;;;;;x
EVTDESC_TOGLI_751;[From.GetTitledFirstName], your liege, has invited you to join [From.GetHerHim] for this spring's festival to honour [Root.Religion.GetRandomGodName]. There you will celebrate the coming of summer and the victory of [Root.Religion.GetRandomGodName] over [Root.Religion.GetRandomEvilGodName]!;[From.GetTitledFirstName], votre seigneur, vous a invité(e) à son festival de l'Užgavenes. Vous y célébrerez la venue de l'été et la victoire de Kanapinis, l'esprit du printemps, sur Lašininis, l'esprit de l'hiver.;[From.GetTitledFirstName], Euer Lehnsherr, hat Euch zum diesjährigen Užgavenes Fest eingeladen. Ihr werdet das Kommen des Sommers und die Niederlage von Lašininis, dem Wintergeist, durch die Hand Kanapinis, dem Geist des Frühlings, feiern.;;[From.GetTitledFirstName], tu señor, te ha invitado a unirte a [From.GetHerHim] para la fiesta de primavera de Užgavenes. Allí celebrarás la llegada del verano y la derrota de Lašininis , el espíritu del invierno, en manos de Kanapinis , el espíritu de la primavera.;;;;;;;;;x
EVTDESC_TOGLI_752;[From.GetTitledFirstName] has declined your invitation to attend the festival to honour [Root.Religion.GetRandomGodName]! Apparently [From.GetSheHe] has no faith in [Root.Religion.GetRandomGodName], and instead follows the strange rituals of some other religion that is foreign to our ways.;[From.GetTitledFirstName] a décliné votre invitation à votre festival de l'Užgavenes ! [From.GetSheHe] ne croit apparemment pas en Lašininis, Kanapinis ou les autres esprits, et préfère suivre de bizarres rituels religieux qui vous sont étrangers.;[From.GetTitledFirstName] hat Eure Einladung zum Užgavenes Fest ausgeschlagen! Offenbar hat [From.GetSheHe] kein Vertrauen in Lašininis, Kanapinis und die anderen Geister und folgt stattdessen den seltsamen Ritualen fremder Religionen.;;¡[From.GetTitledFirstName] ha declinado tu invitación para asistir al festival Užgavenes! Al parecer [From.GetSheHe] no tiene fe en Lašininis, Kanapinis y los otros espíritus, y en su lugar sigue los extraños rituales de otra religión ajena a la nuestra.;;;;;;;;;x
EVTDESC_TOGLI_753;Your vassals have arrived and the time of the festival to honour [Root.Religion.GetRandomGodName] is upon us. Offerings and sacrifices are put in a great altar, and a symbolic fight is staged between the foul [Root.Religion.GetRandomEvilGodName] and [Root.Religion.GetRandomGodName]. To everyone's delight, [Root.Religion.GetRandomGodName] emerges victorious – as always.;Vos vassaux sont arrivés et le jour est venu de célébrer le festival de l'Užgavenes. Une énorme effigie représentant l'hiver est brûlée et une bataille symbolique entre Lašininis, l'esprit de l'hiver, et Kanapinis, l'esprit personnifiant le printemps, est mise en scène. Pour le plus grand bonheur de tous, Kanapinis en sort victorieux, comme toujours.;Eure Vasallen sind angekommen und die Zeit des Užgavenes Festes ist nahe. Ein großes Bildnis, das den Winter darstellt, wird verbrannt und ein symbolischer Kampf zwischen Lašininis, dem Wintergeist, und Kanapinis, dem Geist des Frühlings, findet statt. Zur Freude aller siegt - wie immer - Kanapinis.;;Tus vasallos han llegado y es el momento del festival Užgavenes. Se quema una gran efigie que representa el invierno, y se celebra una lucha simbólica entre Lašininis, el espíritu del invierno, y Kanapinis, el espíritu que personifica la primavera. Para el deleite de todos, Kanapinis sale victorioso, como siempre.;;;;;;;;;x
EVTOTPA_TOGLI_753;Take that, [Root.Religion.GetRandomEvilGodName]!;Prends ça, Lašininis !;Nimm das, Lašininis!;;¡Toma eso, Lašininis!;;;;;;;;;x
EVTDESC_TOGLI_754;At last, the time of the the festival to honour [Root.Religion.GetRandomGodName] is upon us. Offerings and sacrifices are put in a great altar, and a symbolic fight is staged between the foul [Root.Religion.GetRandomEvilGodName] and [Root.Religion.GetRandomGodName]. To everyone's delight, [Root.Religion.GetRandomGodName] emerges victorious – as always.;Vos vassaux sont arrivés et le jour est venu de célébrer le festival de l'Užgavenes. Une énorme effigie représentant l'hiver est brûlée et une bataille symbolique entre Lašininis, l'esprit de l'hiver, et Kanapinis, l'esprit personnifiant le printemps, est mise en scène. Pour le plus grand bonheur de tous, Kanapinis en sort victorieux, comme toujours.;Eure Vasallen sind angekommen und die Zeit des Užgavenes Festes ist nahe. Ein großes Bildnis, das den Winter darstellt, wird verbrannt und ein symbolischer Kampf zwischen Lašininis, dem Wintergeist, und Kanapinis, dem Geist des Frühlings, findet statt. Zur Freude aller siegt - wie immer - Kanapinis.;;Tus vasallos han llegado y es el momento del festival Užgavenes. Se quema una gran efigie que representa el invierno, y se celebra una lucha simbólica entre Lašininis, el espíritu del invierno, y Kanapinis, el espíritu que personifica la primavera. Para el deleite de todos, Kanapinis sale victorioso, como siempre.;;;;;;;;;x
EVTDESC_TOGLI_755;As offerings and sacrifices continue being placed in the altar outside, surely pleasing [Root.Religion.GetRandomGodName], you and your vassals gather for the great feast your servants have prepared!;Alors que l'effigie de l'hiver se consume à l'extérieur, pressant l'arrivée de l'été, vos vassaux et vous êtes réunis pour savourer le grand banquet préparé par vos serviteurs.;Während das Winterabbild draußen verbrennt und dadurch das Kommen des Sommers beschleunigt, versammeln sich Eure Vasallen und Ihr zum großen Festmahl, das Eure Diener vorbereitet haben.;;¡Mientras la efigie del invierno continúa ardiendo fuera, acelerando la llegada del verano, tú y tus vasallos os reunís para la gran fiesta que han preparado tus sirvientes!;;;;;;;;;x
