#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#;;;;;;;;;;;;;x
###Provincial Modifiers;;;;;;;;;;;;;x
#001;;;;;;;;;;;;;x
province_adoptionist;Adoptionist;;;;;;;;;;;;;x
province_adoptionist_desc;The population of this province is predominantly Adoptionist.;;;;;;;;;;;;;x
#002;;;;;;;;;;;;;x
province_aglibol;Aglibôli;;;;;;;;;;;;;x
province_aglibol_desc;The population of this province is predominantly Aglibôli.;;;;;;;;;;;;;x
#003;;;;;;;;;;;;;x
province_alexandros;Alexandros-Ammonite;;;;;;;;;;;;;x
province_alexandros_desc;The population of this province is predominantly Alexandros-Ammonite.;;;;;;;;;;;;;x
#004;;;;;;;;;;;;;x
province_allat;Al-Lati;;;;;;;;;;;;;x
province_allat_desc;The population of this province is predominantly Al-Lati.;;;;;;;;;;;;;x
#005;;;;;;;;;;;;;x
province_allfather;Wodanazic;;;;;;;;;;;;;x
province_allfather_desc;The population of this province is predominantly Wodanazic.;;;;;;;;;;;;;x
#006;;;;;;;;;;;;;x
province_almaqah;Almaqahi;;;;;;;;;;;;;x
province_almaqah_desc;The population of this province is predominantly Almaqahi.;;;;;;;;;;;;;x
#007;;;;;;;;;;;;;x
province_amanai;Amanaii;;;;;;;;;;;;;x
province_amanai_desc;The population of this province is predominantly Amanaii.;;;;;;;;;;;;;x
#008;;;;;;;;;;;;;x
province_amun;Amunite;;;;;;;;;;;;;x
province_amun_desc;The population of this province is predominantly Amunite.;;;;;;;;;;;;;x
#009;;;;;;;;;;;;;x
province_anansi;Anansi;;;;;;;;;;;;;x
province_anansi_desc;The population of this province is predominantly Anansi.;;;;;;;;;;;;;x
#010;;;;;;;;;;;;;x
province_antinomian;Antinomian;;;;;;;;;;;;;x
province_antinomian_desc;The population of this province is predominantly Antinomian.;;;;;;;;;;;;;x
#011;;;;;;;;;;;;;x
province_apollinarist;Apollinarist;;;;;;;;;;;;;x
province_apollinarist_desc;The population of this province is predominantly Apollinarist.;;;;;;;;;;;;;x
#012;;;;;;;;;;;;;x
province_arian;Arian;;;;;;;;;;;;;x
province_arian_desc;The population of this province is predominantly Arian.;;;;;;;;;;;;;x
#013;;;;;;;;;;;;;x
province_ashari;Ash'ari;;;;;;;;;;;;;x
province_ashari_desc;The population of this province is predominantly Ash'ari.;;;;;;;;;;;;;x
#014;;;;;;;;;;;;;x
province_aten;Atenist;;;;;;;;;;;;;x
province_aten_desc;The population of this province is predominantly Atenist.;;;;;;;;;;;;;x
#015;;;;;;;;;;;;;x
province_athari;Athari;;;;;;;;;;;;;x
province_athari_desc;The population of this province is predominantly Athari.;;;;;;;;;;;;;x
#016;;;;;;;;;;;;;x
province_attar;'Attari;;;;;;;;;;;;;x
province_attar_desc;The population of this province is predominantly 'Attari.;;;;;;;;;;;;;x
#017;;;;;;;;;;;;;x
province_audianist;Audianist;;;;;;;;;;;;;x
province_audianist_desc;The population of this province is predominantly Audianist.;;;;;;;;;;;;;x
#018;;;;;;;;;;;;;x
province_aztec;Teotli;;;;;;;;;;;;;x
province_aztec_desc;The population of this province is predominantly Teotli.;;;;;;;;;;;;;x
#019;;;;;;;;;;;;;x
province_batembuzi;Batembuzi;;;;;;;;;;;;;x
province_batembuzi_desc;The population of this province is predominantly Batembuzi.;;;;;;;;;;;;;x
#020;;;;;;;;;;;;;x
province_beelshamen;Beelshameni;;;;;;;;;;;;;x
province_beelshamen_desc;The population of this province is predominantly Beelshameni.;;;;;;;;;;;;;x
#021;;;;;;;;;;;;;x
province_berber_pagan;Amazigh;;;;;;;;;;;;;x
